1878 241 3938 3188 2952 1366 2911 4098 2883 3344 4042 1895 4349 1247 357 0 3874 2012 602 4771
4780 351 2479 4166 1079 419 3869 5 526 2998 660 1956 2892 1958 2001 4421 0 1261 4972 3295
3292 586 877 1866 2730 4817 2343 4657 2931 1417 1038 3613 1633 4234 1274 1440 901 4970 4308 1087
4485 2232 1635 1499 0 2141 4784 2541 2806 1722 3343 3415 363 3045 343 3672 3758 2534 3009 3097
459 1417 4242 2552 3710 1171 1646 2599 4319 0 2104 2471 2512 4616 1685 172 4211 2274 4900 46
2472 1052 3707 4398 1168 2717 164 0 2498 4228 3184 1079 2252 0 261 592 2567 571 2253 2330
678 4098 2468 739 2829 4126 2269 3189 2611 3752 2593 4657 4541 345 3584 2103 2124 606 85 747
3688 3707 1389 2253 4166 0 4771 1662 1175 4487 4881 3003 514 1958 2541 1032 2020 3472 3157 518
2191 578 1585 4003 3930 3828 4042 2565 220 4771 0 1634 3727 874 4745 4098 0 3488 793 4420
634 4495 1948 4726 1486 0 2766 2697 4901 2952 138 0 2721 2313 2837 3535 1860 3063 4606 1089
4608 4596 186 261 2141 1726 2963 4047 3825 747 215 4348 241 3475 4168 3304 211 3169 947 3488
2886 3099 4308 3961 2680 1170 4515 4425 1782 2039 3009 3504 1133 4645 3828 2534 802 3109 836 1626
2236 1485 756 1027 2416 3415 1059 3975 4667 2937 967 1900 1374 243 2512 1417 3292 898 226 1209
2430 2242 2575 50 0 527 1056 2818 307 3854 1322 3232 3950 1710 0 2183 1366 2974 3125 1950
78 2868 3109 226 3091 2751 4007 543 138 4013 3989 2198 303 1983 3040 4153 1121 0 4453 1487
1155 254 1087 3092 2580 1133 4417 4361 2343 2035 2200 1202 3989 2489 134 705 3155 2143 1961 4416
3332 4242 2611 2719 2721 3490 1520 2816 4025 2368 631 226 3929 2815 881 1257 4905 2110 2546 532
4070 4924 1010 3723 0 3564 3013 1535 3688 2512 3544 4111 1536 1356 2226 3614 1749 4709 105 3914
3727 3463 23 354 900 0 1877 2537 1987 2654 3380 3910 1288 2365 1190 4546 2236 2836 867 4714
2848 1535 1206 2883 4657 273 281 606 1035 326 4392 3853 4238 2740 563 2956 0 3189 639 0
3940 2816 1188 1095 2489 3393 2541 1536 1279 2479 2144 3880 4670 4092 3275 3178 3226 0 24 1220
1871 2629 8 112 4444 4059 3476 4098 532 35 2648 2737 2176 1992 4301 176 939 527 3202 2962
2224 2675 4757 1089 2346 3640 0 1121 64 252 4957 1722 4051 2253 4470 838 69 2305 703 2680
4714 241 4973 0 271 2643 0 1795 368 2979 3220 2434 226 1156 3072 4377 2940 252 2041 4519
3467 2956 4134 46 4566 4211 4143 69 2573 3995 2342 1121 202 4770 1277 7 3292 527 0 2557
4800 2205 4810 2227 4541 1338 1336 1600 3712 2979 4477 1902 0 4234 1417 2499 1979 3008 2448 252
